,State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
308,JAIPUR, 2004-05,Rabi       ,155445,464550,2.988516838753257
309,JAIPUR, 2005-06,Rabi       ,139818,387943,2.7746284455506443
310,JAIPUR, 2006-07,Rabi       ,136066,352372,2.5897138153543136
311,JAIPUR, 2007-08,Rabi       ,132008,288950,2.1888824919701837
312,JAIPUR, 2008-09,Rabi       ,136789,425084,3.1075890605238725
313,JAIPUR, 2009-10,Rabi       ,139226,447502,3.214212862540043
314,JAIPUR, 2010-11,Rabi       ,158861,590946,3.7198934917947137
315,JAIPUR, 2011-12,Rabi       ,148076,461366,3.1157378643399336
316,JAIPUR, 2012-13,Rabi       ,151092,510277,3.37726021232097
317,JAIPUR, 2013-14,Rabi       ,153563,473829,3.0855674869597496
318,JAIPUR, 2014-15,Rabi       ,157649,502927,3.19016930015414
319,JAIPUR, 2015-16,Rabi       ,150350,477120,3.173395410708347
320,JAIPUR, 2016-17,Rabi       ,157232,569358,3.6211331026763
321,JAIPUR, 2017-18,Rabi       ,140904,512683,3.6385269403281666
322,JAIPUR, 2018-19,Rabi       ,139519,530407,3.8016829249062853
323,JAISALMER, 2000-01,Rabi       ,11003,26426,2.4017086249204764
324,JAISALMER, 2001-02,Rabi       ,11448,31975,2.7930642907058
325,JAISALMER, 2002-03,Rabi       ,7486,20280,2.709056906224953
326,JAISALMER, 2003-04,Rabi       ,5377,15023,2.7939371396689605
327,JAISALMER, 2004-05,Rabi       ,4821,13686,2.838830118232732
328,JAISALMER, 2005-06,Rabi       ,13015,35942,2.761582789089512
329,JAISALMER, 2006-07,Rabi       ,13030,19197,1.4732924021488871
330,JAISALMER, 2007-08,Rabi       ,9696,8987,0.9268770627062707
331,JAISALMER, 2008-09,Rabi       ,9521,7878,0.827434093057452
332,JAISALMER, 2009-10,Rabi       ,10768,12725,1.1817421991084696
333,JAISALMER, 2010-11,Rabi       ,15127,51937,3.4333972367290277
334,JAISALMER, 2011-12,Rabi       ,14076,18403,1.3074026712134128
335,JAISALMER, 2012-13,Rabi       ,13424,17467,1.3011769964243147
336,JAISALMER, 2013-14,Rabi       ,13709,18128,1.322342986359326
337,JAISALMER, 2014-15,Rabi       ,10318,10022,0.9713122698197325
338,JAISALMER, 2015-16,Rabi       ,12514,17427,1.3926002876778008
339,JAISALMER, 2016-17,Rabi       ,9989,13824,1.3839223145460007
340,JAISALMER, 2017-18,Rabi       ,8983,16116,1.7940554380496494
341,JAISALMER, 2018-19,Rabi       ,7882,14209,1.8027150469424005
342,JALORE, 2000-01,Rabi       ,34339,43263,1.259879437374414
343,JALORE, 2001-02,Rabi       ,28665,37235,1.2989708703994418
344,JALORE, 2002-03,Rabi       ,29446,44959,1.526828771310195
345,JALORE, 2003-04,Rabi       ,29457,53836,1.827613131004515
346,JALORE, 2004-05,Rabi       ,22327,37852,1.6953464415281945
347,JALORE, 2005-06,Rabi       ,22327,32653,1.4624893626550812
348,JALORE, 2006-07,Rabi       ,43350,77784,1.794325259515571
349,JALORE, 2007-08,Rabi       ,31525,54016,1.7134337827121333
350,JALORE, 2008-09,Rabi       ,23600,37105,1.5722457627118644
351,JALORE, 2009-10,Rabi       ,30967,61604,1.9893434946878936
352,JALORE, 2010-11,Rabi       ,44957,80464,1.789799141401784
353,JALORE, 2011-12,Rabi       ,29980,54290,1.8108739159439626
354,JALORE, 2012-13,Rabi       ,28379,50464,1.778216286690863
355,JALORE, 2013-14,Rabi       ,35013,77088,2.2016965127238453
356,JALORE, 2014-15,Rabi       ,32667,62247,1.9055009642758747
357,JALORE, 2015-16,Rabi       ,41041,82562,2.011695621451719
358,JALORE, 2016-17,Rabi       ,52182,101978,1.9542754206431336
359,JALORE, 2017-18,Rabi       ,46938,100703,2.145447185649154
360,JALORE, 2018-19,Rabi       ,42824,101948,2.3806276854100505
361,JHALAWAR, 2000-01,Rabi       ,45144,86361,1.9130116959064327
362,JHALAWAR, 2001-02,Rabi       ,48161,121599,2.524843753244326
363,JHALAWAR, 2002-03,Rabi       ,21558,48080,2.2302625475461544
364,JHALAWAR, 2003-04,Rabi       ,34651,96196,2.776139216761421
365,JHALAWAR, 2004-05,Rabi       ,49431,161194,3.260990066962028
366,JHALAWAR, 2005-06,Rabi       ,37166,102947,2.7699241241995374
367,JHALAWAR, 2006-07,Rabi       ,72456,235175,3.2457629457877886
368,JHALAWAR, 2007-08,Rabi       ,57376,164458,2.866320412716118
369,JHALAWAR, 2008-09,Rabi       ,58810,163674,2.7830981125658902
370,JHALAWAR, 2009-10,Rabi       ,67915,226609,3.3366561142604727
371,JHALAWAR, 2010-11,Rabi       ,70511,222286,3.1525010282083645
372,JHALAWAR, 2011-12,Rabi       ,87563,330747,3.7772460970958055
373,JHALAWAR, 2012-13,Rabi       ,86055,279018,3.2423217709604324
374,JHALAWAR, 2013-14,Rabi       ,106834,329955,3.0884830671883483
375,JHALAWAR, 2014-15,Rabi       ,112534,352790,3.1349636554285816
376,JHALAWAR, 2015-16,Rabi       ,102108,354563,3.4724311513299644
377,JHALAWAR, 2016-17,Rabi       ,109041,417546,3.8292568850248987
378,JHALAWAR, 2017-18,Rabi       ,102202,413256,4.043521653196611
379,JHALAWAR, 2018-19,Rabi       ,105638,426073,4.03333080898919
380,JHUNJHUNU, 2000-01,Rabi       ,65926,165008,2.502927524800534
381,JHUNJHUNU, 2001-02,Rabi       ,55425,138029,2.490374379792512
382,JHUNJHUNU, 2002-03,Rabi       ,61244,209336,3.418065443145451
383,JHUNJHUNU, 2003-04,Rabi       ,63456,175314,2.762764750378215
384,JHUNJHUNU, 2004-05,Rabi       ,59680,158612,2.6577077747989275
385,JHUNJHUNU, 2005-06,Rabi       ,69708,211993,3.041157399437654
386,JHUNJHUNU, 2006-07,Rabi       ,68350,241932,3.5396049743964886
387,JHUNJHUNU, 2007-08,Rabi       ,75906,211838,2.790793876636893
388,JHUNJHUNU, 2008-09,Rabi       ,71814,253157,3.5251761494973124
389,JHUNJHUNU, 2009-10,Rabi       ,79516,257934,3.2437999899391317
390,JHUNJHUNU, 2010-11,Rabi       ,79590,259955,3.2661766553587133
391,JHUNJHUNU, 2011-12,Rabi       ,73708,250190,3.394339827427145
392,JHUNJHUNU, 2012-13,Rabi       ,84439,315480,3.7361882542427076
393,JHUNJHUNU, 2013-14,Rabi       ,86716,346467,3.9954218368005905
394,JHUNJHUNU, 2014-15,Rabi       ,88802,358018,4.031643431454246
395,JHUNJHUNU, 2015-16,Rabi       ,88335,311096,3.5217750608479084
396,JHUNJHUNU, 2016-17,Rabi       ,86553,350085,4.044747149145611
397,JHUNJHUNU, 2017-18,Rabi       ,85956,340008,3.9556051933547396
398,JHUNJHUNU, 2018-19,Rabi       ,77477,323290,4.172722227241633
399,JODHPUR, 2000-01,Rabi       ,46851,101724,2.171223666517257
400,JODHPUR, 2001-02,Rabi       ,38463,104487,2.716558770766711
401,JODHPUR, 2002-03,Rabi       ,40643,80102,1.9708682922028393
402,JODHPUR, 2003-04,Rabi       ,36836,93104,2.527527418829406
403,JODHPUR, 2004-05,Rabi       ,34403,76125,2.2127430747318546
404,JODHPUR, 2005-06,Rabi       ,35843,75319,2.1013587032335463
405,JODHPUR, 2006-07,Rabi       ,37751,76355,2.0225954279356837
406,JODHPUR, 2007-08,Rabi       ,41824,86363,2.064914881407804
407,JODHPUR, 2008-09,Rabi       ,41501,81665,1.9677839088214741
408,JODHPUR, 2009-10,Rabi       ,53143,132805,2.4990120994298404
409,JODHPUR, 2010-11,Rabi       ,59285,149046,2.5140592055325968
410,JODHPUR, 2011-12,Rabi       ,50154,136352,2.7186665071579537
411,JODHPUR, 2012-13,Rabi       ,60974,133164,2.183947256207564
412,JODHPUR, 2013-14,Rabi       ,67879,152460,2.246055481076622
413,JODHPUR, 2014-15,Rabi       ,67781,130806,1.9298328440123338
414,JODHPUR, 2015-16,Rabi       ,69216,136221,1.9680565187239945
415,JODHPUR, 2016-17,Rabi       ,77939,180677,2.3181847342152198
416,JODHPUR, 2017-18,Rabi       ,66071,150969,2.2849510375202433
417,JODHPUR, 2018-19,Rabi       ,63675,149730,2.351472320376914
418,KARAULI, 2000-01,Rabi       ,61886,118884,1.9210160617910352
419,KARAULI, 2001-02,Rabi       ,55324,174640,3.1566770298604583
420,KARAULI, 2002-03,Rabi       ,52941,131287,2.479873821801628
421,KARAULI, 2003-04,Rabi       ,63492,231030,3.6387261387261387
422,KARAULI, 2004-05,Rabi       ,50984,167098,3.277459595167111
423,KARAULI, 2005-06,Rabi       ,51891,170279,3.2814746295118615
424,KARAULI, 2006-07,Rabi       ,53423,163549,3.0613967766692247
425,KARAULI, 2007-08,Rabi       ,56952,192121,3.373384604579295
426,KARAULI, 2008-09,Rabi       ,62737,228085,3.6355739037569537
427,KARAULI, 2009-10,Rabi       ,73134,285650,3.905844067054995
428,KARAULI, 2010-11,Rabi       ,86163,365854,4.246068498079222
429,KARAULI, 2011-12,Rabi       ,75295,296883,3.9429311375257323
430,KARAULI, 2012-13,Rabi       ,78348,306585,3.9131183948537296
431,KARAULI, 2013-14,Rabi       ,83418,313196,3.7545373900117482
432,KARAULI, 2014-15,Rabi       ,85169,308964,3.6276579506627997
433,KARAULI, 2015-16,Rabi       ,78974,279286,3.536429711044141
434,KARAULI, 2016-17,Rabi       ,89193,360710,4.044151446862422
435,KARAULI, 2017-18,Rabi       ,75421,319581,4.23729465268294
436,KARAULI, 2018-19,Rabi       ,77846,346048,4.445289417568019
437,KOTA, 2000-01,Rabi       ,96156,241324,2.509713382420234
438,KOTA, 2001-02,Rabi       ,79144,227185,2.8705271404023045
439,KOTA, 2002-03,Rabi       ,50311,141770,2.8178728309912344
440,KOTA, 2003-04,Rabi       ,66760,191358,2.866357100059916
441,KOTA, 2004-05,Rabi       ,64902,220058,3.390619703553049
442,KOTA, 2005-06,Rabi       ,64753,209469,3.234892591849026
443,KOTA, 2006-07,Rabi       ,81551,296388,3.634388296893968
444,KOTA, 2007-08,Rabi       ,110050,398747,3.6233257610177194
445,KOTA, 2008-09,Rabi       ,86611,320290,3.698029118703167
446,KOTA, 2009-10,Rabi       ,91999,325222,3.5350601636974317
447,KOTA, 2010-11,Rabi       ,115280,411409,3.5687803608605133
448,KOTA, 2011-12,Rabi       ,111785,467738,4.18426443619448
449,KOTA, 2012-13,Rabi       ,127996,541271,4.228811837869934
450,KOTA, 2013-14,Rabi       ,138008,553604,4.011390644020636
451,KOTA, 2014-15,Rabi       ,135748,279120,2.056162890060995
452,KOTA, 2015-16,Rabi       ,120081,468840,3.9043645539261
453,KOTA, 2016-17,Rabi       ,141604,622806,4.398223214033502
454,KOTA, 2017-18,Rabi       ,120490,502518,4.1706199684621135
455,KOTA, 2018-19,Rabi       ,142148,666856,4.691279511495061
456,NAGAUR, 2000-01,Rabi       ,91912,184326,2.00546174601793
457,NAGAUR, 2001-02,Rabi       ,69514,179307,2.5794372356647584
458,NAGAUR, 2002-03,Rabi       ,85412,189465,2.218248021355313
459,NAGAUR, 2003-04,Rabi       ,74768,201871,2.699965225765033
460,NAGAUR, 2004-05,Rabi       ,69640,141396,2.0303848363009767
461,NAGAUR, 2005-06,Rabi       ,71316,163469,2.2921784732738795
462,NAGAUR, 2006-07,Rabi       ,76384,165160,2.1622329283619606
463,NAGAUR, 2007-08,Rabi       ,79567,161304,2.02727261301796
464,NAGAUR, 2008-09,Rabi       ,67100,173274,2.5823248882265277
465,NAGAUR, 2009-10,Rabi       ,77165,194171,2.5163092075422795
466,NAGAUR, 2010-11,Rabi       ,77362,194987,2.520449316201753
467,NAGAUR, 2011-12,Rabi       ,56807,142524,2.5089161546992447
468,NAGAUR, 2012-13,Rabi       ,83768,212344,2.534905930665648
469,NAGAUR, 2013-14,Rabi       ,75548,189555,2.509067083178906
470,NAGAUR, 2014-15,Rabi       ,71637,161510,2.2545611904462777
471,NAGAUR, 2015-16,Rabi       ,60279,160235,2.6582225982514642
472,NAGAUR, 2016-17,Rabi       ,64949,165199,2.5435187608739165
473,NAGAUR, 2017-18,Rabi       ,53677,142533,2.655383124988356
474,NAGAUR, 2018-19,Rabi       ,51378,145883,2.839405971427459
475,PALI, 2000-01,Rabi       ,51527,74074,1.4375764162477924
476,PALI, 2001-02,Rabi       ,68178,113534,1.665258587814251
477,PALI, 2002-03,Rabi       ,29431,61032,2.0737317794162617
478,PALI, 2003-04,Rabi       ,38801,79685,2.053684183397335
479,PALI, 2004-05,Rabi       ,25553,43649,1.7081751653426211
480,PALI, 2005-06,Rabi       ,28652,37038,1.2926846293452463
481,PALI, 2006-07,Rabi       ,77550,149111,1.9227724049000645
482,PALI, 2007-08,Rabi       ,69452,131968,1.900132465587744
483,PALI, 2008-09,Rabi       ,30185,51077,1.692131853569654
484,PALI, 2009-10,Rabi       ,24350,48213,1.98
485,PALI, 2010-11,Rabi       ,80115,145154,1.8118205080197216
486,PALI, 2011-12,Rabi       ,48464,107092,2.2097226807527237
487,PALI, 2012-13,Rabi       ,57098,144534,2.5313320956951206
488,PALI, 2013-14,Rabi       ,47446,129758,2.7348564684061882
489,PALI, 2014-15,Rabi       ,49826,99960,2.006181511660579
490,PALI, 2015-16,Rabi       ,61193,157499,2.573807461637769
491,PALI, 2016-17,Rabi       ,92531,265876,2.8733721671655985
492,PALI, 2017-18,Rabi       ,82074,216513,2.6380217852182177
493,PALI, 2018-19,Rabi       ,50085,146542,2.92586602775282
494,PRATAPGARH, 2008-09,Rabi       ,44610,116629,2.6144138085631026
495,PRATAPGARH, 2009-10,Rabi       ,47698,158095,3.314499559729968
496,PRATAPGARH, 2010-11,Rabi       ,49319,123163,2.497272856302845
497,PRATAPGARH, 2011-12,Rabi       ,55687,193566,3.475963869484799
498,PRATAPGARH, 2012-13,Rabi       ,58237,184458,3.167367824578876
499,PRATAPGARH, 2013-14,Rabi       ,65698,258411,3.93331608268136
500,PRATAPGARH, 2014-15,Rabi       ,64317,229597,3.569771600043534
501,PRATAPGARH, 2015-16,Rabi       ,56870,157921,2.776877088095657
502,PRATAPGARH, 2016-17,Rabi       ,63634,241538,3.7957381274161612
503,PRATAPGARH, 2017-18,Rabi       ,64522,220254,3.4136263600012398
504,PRATAPGARH, 2018-19,Rabi       ,70294,286092,4.0699348450792385
505,RAJSAMAND, 2000-01,Rabi       ,3342,7208,2.1567923399162177
506,RAJSAMAND, 2001-02,Rabi       ,15369,42099,2.739215303533086
507,RAJSAMAND, 2002-03,Rabi       ,1482,3158,2.1309041835357623
508,RAJSAMAND, 2003-04,Rabi       ,5376,15020,2.7938988095238093
509,RAJSAMAND, 2004-05,Rabi       ,3293,9348,2.8387488612207714
510,RAJSAMAND, 2005-06,Rabi       ,16323,45077,2.761563438093488
511,RAJSAMAND, 2006-07,Rabi       ,36704,116996,3.1875544899738446
512,RAJSAMAND, 2007-08,Rabi       ,34420,107093,3.1113596746077863
513,RAJSAMAND, 2008-09,Rabi       ,12069,26966,2.2343193305161986
514,RAJSAMAND, 2009-10,Rabi       ,6461,16811,2.6019192075530104
515,RAJSAMAND, 2010-11,Rabi       ,31898,104462,3.274876167784814
516,RAJSAMAND, 2011-12,Rabi       ,32314,100979,3.124930370737142
517,RAJSAMAND, 2012-13,Rabi       ,33480,110290,3.294205495818399
518,RAJSAMAND, 2013-14,Rabi       ,30675,89919,2.931344743276284
519,RAJSAMAND, 2014-15,Rabi       ,29541,69577,2.3552689482414273
520,RAJSAMAND, 2015-16,Rabi       ,25946,71148,2.74215678717336
521,RAJSAMAND, 2016-17,Rabi       ,32458,105559,3.2521720377102716
522,RAJSAMAND, 2017-18,Rabi       ,34327,112397,3.274303026771929
523,RAJSAMAND, 2018-19,Rabi       ,22479,66677,2.9661906668446107
524,SAWAI MADHOPUR, 2000-01,Rabi       ,66197,111612,1.6860582805867335
525,SAWAI MADHOPUR, 2001-02,Rabi       ,62102,116887,1.8821777076422659
526,SAWAI MADHOPUR, 2002-03,Rabi       ,54227,82843,1.527707599535287
527,SAWAI MADHOPUR, 2003-04,Rabi       ,60948,130252,2.1371004790969352
528,SAWAI MADHOPUR, 2004-05,Rabi       ,44021,78218,1.7768337838758774
529,SAWAI MADHOPUR, 2005-06,Rabi       ,44491,90111,2.0253759187251354
530,SAWAI MADHOPUR, 2006-07,Rabi       ,42351,118521,2.798540766451796
531,SAWAI MADHOPUR, 2007-08,Rabi       ,45688,118179,2.586652950446507
532,SAWAI MADHOPUR, 2008-09,Rabi       ,53450,164400,3.0757717492984096
533,SAWAI MADHOPUR, 2009-10,Rabi       ,61185,213165,3.48394214268203
534,SAWAI MADHOPUR, 2010-11,Rabi       ,84191,291368,3.460797472413916
535,SAWAI MADHOPUR, 2011-12,Rabi       ,70125,230402,3.285590017825312
536,SAWAI MADHOPUR, 2012-13,Rabi       ,70003,229909,3.28427353113438
537,SAWAI MADHOPUR, 2013-14,Rabi       ,77203,218377,2.828607696592101
538,SAWAI MADHOPUR, 2014-15,Rabi       ,82257,271260,3.2977132645246
539,SAWAI MADHOPUR, 2015-16,Rabi       ,69313,230484,3.3252636590538573
540,SAWAI MADHOPUR, 2016-17,Rabi       ,85337,350076,4.102276855291374
541,SAWAI MADHOPUR, 2017-18,Rabi       ,64273,251725,3.916496818259611
542,SAWAI MADHOPUR, 2018-19,Rabi       ,70181,300227,4.277895726763654
543,SIKAR, 2000-01,Rabi       ,86767,171194,1.9730312215473624
544,SIKAR, 2001-02,Rabi       ,82086,269379,3.2816680067246544
545,SIKAR, 2002-03,Rabi       ,84627,247138,2.9203209377621797
546,SIKAR, 2003-04,Rabi       ,86844,229255,2.6398484639123025
547,SIKAR, 2004-05,Rabi       ,86650,266724,3.0781765724177728
548,SIKAR, 2005-06,Rabi       ,84607,215361,2.545427683288617
549,SIKAR, 2006-07,Rabi       ,84349,267674,3.1734104731532087
550,SIKAR, 2007-08,Rabi       ,85200,170924,2.006150234741784
551,SIKAR, 2008-09,Rabi       ,85657,250455,2.92392915932148
552,SIKAR, 2009-10,Rabi       ,90628,301181,3.3232665401421193
553,SIKAR, 2010-11,Rabi       ,100483,343783,3.421305096384463
554,SIKAR, 2011-12,Rabi       ,100080,292553,2.923191446842526
555,SIKAR, 2012-13,Rabi       ,100128,327293,3.2687460051134547
556,SIKAR, 2013-14,Rabi       ,101345,331358,3.2696038285065865
557,SIKAR, 2014-15,Rabi       ,99558,347485,3.4902770244480603
558,SIKAR, 2015-16,Rabi       ,92333,323185,3.5002111920981664
559,SIKAR, 2016-17,Rabi       ,92032,333627,3.6251195236439497
560,SIKAR, 2017-18,Rabi       ,86085,285834,3.3203694023349017
561,SIKAR, 2018-19,Rabi       ,83288,321575,3.8610003842090097
562,SIROHI, 2000-01,Rabi       ,15218,25630,1.6841897752661321
563,SIROHI, 2001-02,Rabi       ,22526,51029,2.2653378318387642
564,SIROHI, 2002-03,Rabi       ,10087,24429,2.421830078318628
565,SIROHI, 2003-04,Rabi       ,26658,70468,2.643409107960087
566,SIROHI, 2004-05,Rabi       ,16300,30254,1.8560736196319019
567,SIROHI, 2005-06,Rabi       ,27201,64336,2.365207161501415
568,SIROHI, 2006-07,Rabi       ,46191,109237,2.3648979238379773
569,SIROHI, 2007-08,Rabi       ,39349,92695,2.3557142494091337
570,SIROHI, 2008-09,Rabi       ,24790,52778,2.1290036304961677
571,SIROHI, 2009-10,Rabi       ,18016,44115,2.4486567495559504
572,SIROHI, 2010-11,Rabi       ,39045,114373,2.9292611089768217
573,SIROHI, 2011-12,Rabi       ,37254,101128,2.714554141837118
574,SIROHI, 2012-13,Rabi       ,35949,99139,2.757767949038916
575,SIROHI, 2013-14,Rabi       ,34035,94095,2.7646540326134863
576,SIROHI, 2014-15,Rabi       ,26851,62377,2.3230792149268185
577,SIROHI, 2015-16,Rabi       ,34226,91608,2.6765616782562964
578,SIROHI, 2016-17,Rabi       ,37509,108650,2.8966381401796903
579,SIROHI, 2017-18,Rabi       ,22239,66374,2.984576644633302
580,SIROHI, 2018-19,Rabi       ,29066,87890,3.0238078855019612
581,TONK, 2000-01,Rabi       ,70478,108495,1.5394165555208719
582,TONK, 2001-02,Rabi       ,60297,123635,2.050433686584739
583,TONK, 2002-03,Rabi       ,39825,80975,2.0332705586942876
584,TONK, 2003-04,Rabi       ,47241,124621,2.637983954615694
585,TONK, 2004-05,Rabi       ,60615,169243,2.792097665594325
586,TONK, 2005-06,Rabi       ,54647,138646,2.5371200614855343
587,TONK, 2006-07,Rabi       ,63430,163346,2.575216774396973
588,TONK, 2007-08,Rabi       ,69961,175020,2.5016795071539857
589,TONK, 2008-09,Rabi       ,40643,105913,2.605934601284354
590,TONK, 2009-10,Rabi       ,39926,106733,2.6732705505184593
591,TONK, 2010-11,Rabi       ,88632,284497,3.209867767849084
592,TONK, 2011-12,Rabi       ,67431,233365,3.4607969628212545
593,TONK, 2012-13,Rabi       ,61769,211218,3.4194822645663683
594,TONK, 2013-14,Rabi       ,58416,200010,3.4238907148726376
595,TONK, 2014-15,Rabi       ,66376,138758,2.0904845124743883
596,TONK, 2015-16,Rabi       ,51468,160971,3.1275938447190486
597,TONK, 2016-17,Rabi       ,69184,250843,3.6257371646623495
598,TONK, 2017-18,Rabi       ,45842,152773,3.3325989267483966
599,TONK, 2018-19,Rabi       ,40139,143883,3.584618450883181
600,UDAIPUR, 2000-01,Rabi       ,17488,38009,2.173433211344922
601,UDAIPUR, 2001-02,Rabi       ,38959,97378,2.4994994738057956
602,UDAIPUR, 2002-03,Rabi       ,16935,38743,2.2877472689695897
603,UDAIPUR, 2003-04,Rabi       ,33804,82623,2.4441782037628683
604,UDAIPUR, 2004-05,Rabi       ,48549,160395,3.303775566952975
605,UDAIPUR, 2005-06,Rabi       ,67990,148568,2.1851448742462125
606,UDAIPUR, 2006-07,Rabi       ,88904,217207,2.4431634122199224
607,UDAIPUR, 2007-08,Rabi       ,79367,184713,2.327327478675016
608,UDAIPUR, 2008-09,Rabi       ,41115,86645,2.107381734160282
609,UDAIPUR, 2009-10,Rabi       ,32201,75366,2.3404863203006117
610,UDAIPUR, 2010-11,Rabi       ,55118,131966,2.3942450742044343
611,UDAIPUR, 2011-12,Rabi       ,71948,201479,2.8003419136042695
612,UDAIPUR, 2012-13,Rabi       ,72678,178517,2.456272874872726
613,UDAIPUR, 2013-14,Rabi       ,70717,200803,2.839529391801123
614,UDAIPUR, 2014-15,Rabi       ,76849,193315,2.5155174432978957
615,UDAIPUR, 2015-16,Rabi       ,74822,210840,2.8178877870145143
616,UDAIPUR, 2016-17,Rabi       ,80410,250975,3.1211913941052107
617,UDAIPUR, 2017-18,Rabi       ,80937,229859,2.839974300999543
618,UDAIPUR, 2018-19,Rabi       ,74793,217764,2.9115558942681803
619,Total - Wheat,,,50545551,162270244,3.2103763989040304
